"","ID_ATC7","ATC7_NOMBRE.NAME"
"1","",""
"2","A01AB03","CLORHEXIDINA"
"3","A01AB91","NISTATINA"
"4","A02AD03","ALMAGATO"
"5","A02AH01","SODIO, BICARBONATO"
"6","A02BA02","RANITIDINA"
"7","A02BA03","FAMOTIDINA"
"8","A02BC01","OMEPRAZOL"
"9","A02BC02","PANTOPRAZOL"
"10","A02BC05","ESOMEPRAZOL"
"11","A03AX13","SILICONAS"
"12","A03BA01","ATROPINA"
"13","A03BB01","BUTILESCOPOLAMINA"
"14","A03DB04","BUTILESCOPOLAMINA Y ANALGÉSICOS"
"15","A03FA01","METOCLOPRAMIDA"
"16","A03FA03","DOMPERIDONA"
"17","A03FA10","CINITAPRIDA"
"18","A04AA01","ONDANSETRÓN"
"19","A04AD12","APREPITANT"
"20","A05AA02","ÁCIDO URSODEOXICÓLICO"
"21","A06AA01","PARAFINA BLANDA"
"22","A06AB02","BISACODILO"
"23","A06AB56","GLICÓSIDOS DEL SENNA, COMBINACIONES"
"24","A06AB58","PICOSULFATO DE SODIO, COMBINACIONES "
"25","A06AC01","ISPAGHULA (SEMILLAS DE PSYLLIUM)"
"26","A06AD04","MAGNESIO SULFATO"
"27","A06AD11","LACTULOSA"
"28","A06AD15","MACROGOL"
"29","A06AD65","MACROGOL, COMBINACIONES"
"30","A06AG01","FOSFATO DE SODIO"
"31","A06AG11","LAURILSULFATO, INCL. COMBINACIONES"
"32","A07AA11","RIFAXIMINA"
"33","A07AA12","FIDAXOMICINA"
"34","A07DA03","LOPERAMIDA"
"35","A07EC01","SULFASALAZINA"
"36","A07EC02","MESALAZINA"
"37","A07FA02","SACCHAROMYCES BOULARDII"
"38","A09AA02","MULTIENZIMAS (LIPASA, PROTEASA, ETC.)"
"39","A10AB01","INSULINA (HUMANA)"
"40","A10AB05","INSULINA ASPARTA"
"41","A10AC01","INSULINA (HUMANA)"
"42","A10AE04","INSULINA GLARGINA"
"43","A10AE06","INSULINA DEGLUDEC"
"44","A10BA02","METFORMINA"
"45","A10BB09","GLICLAZIDA"
"46","A10BH01","SITAGLIPTINA"
"47","A10BH05","LINAGLIPTINA"
"48","A10BK03","EMPAGLIFLOZINA"
"49","A10BX02","REPAGLINIDA"
"50","A11BA01","COMPLEJO MULTIVITAMÍNICO"
"51","A11CC04","CALCITRIOL"
"52","A11CC05","COLECALCIFEROL"
"53","A11CC06","CALCIFEDIOL"
"54","A11DA01","TIAMINA (VIT B1)"
"55","A11DB10","VITAMINA B1, B6 Y B12"
"56","A11GA01","ÁCIDO ASCÓRBICO (VIT C)"
"57","A11HA06","PIRIDOXAL, FOSFATO DE"
"58","A12AA03","GLUCONATO DE CALCIO"
"59","A12AA04","CARBONATO DE CALCIO"
"60","A12AX01","COMBINACION CALCIO Y VITAMINA D"
"61","A12BA01","CLORURO DE POTASIO"
"62","A12BA04","BICARBONATO DE POTASIO"
"63","A12CC30","MAGNESIO (COMBINACIÓN DE DIFERENTES SALES)"
"64","A12CX20","OLIGOELEMENTOS"
"65","A12CX91","FOSFORO"
"66","B01AA07","ACENOCUMAROL"
"67","B01AB01","HEPARINA"
"68","B01AB05","ENOXAPARINA"
"69","B01AB12","BEMIPARINA"
"70","B01AC04","CLOPIDOGREL"
"71","B01AC06","ÁCIDO ACETILSALICÍLICO"
"72","B01AC18","TRIFLUSAL"
"73","B01AC22","PRASUGREL"
"74","B01AC24","TICAGRELOR"
"75","B01AD02","ALTEPLASA"
"76","B01AD04","UROQUINASA"
"77","B01AD11","TENECTEPLASA"
"78","B01AE07","DABIGATRAN"
"79","B01AF01","RIVAROXABAN"
"80","B01AF02","APIXABAN"
"81","B01AF03","EDOXABAN"
"82","B01AX05","FONDAPARINUX"
"83","B02AA01","ÁCIDO AMINOCAPROICO"
"84","B02AA02","ÁCIDO TRANEXÁMICO"
"85","B02BA01","FITOMENADIONA"
"86","B02BB01","FIBRINÓGENO HUMANO"
"87","B02BD40","COMPLEJO PROTROMBINA"
"88","B03AA07","FERROSO SULFATO"
"89","B03AC01","DEXTRIFERRÓN"
